"Path","From","To","Action"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\link-cvtres.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\link.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\link.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\link.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\mt.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\mt.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\mt.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\rc.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\rc.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\rc.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.dll.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.tlog\CL.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboSoundData\Release\SboSoundData.tlog\CL.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
